State,Abbreviation, 2018 Population 
California,CA,"39,776,830.00"
Texas,TX,"28,704,330.00"
Florida,FL,"21,312,211.00"
New York,NY,"19,862,512.00"
Pennsylvania,PA,"12,823,989.00"
Illinois,IL,"12,768,320.00"
Ohio,OH,"11,694,664.00"
Georgia,GA,"10,545,138.00"
North Carolina,NC,"10,390,149.00"
Michigan,MI,"9,991,177.00"
New Jersey,NJ,"9,032,872.00"
Virginia,VA,"8,525,660.00"
Washington,WA,"7,530,552.00"
Arizona,AZ,"7,123,898.00"
Massachusetts,MA,"6,895,917.00"
Tennessee,TN,"6,782,564.00"
Indiana,IN,"6,699,629.00"
Missouri,MO,"6,135,888.00"
Maryland,MD,"6,079,602.00"
Wisconsin,WI,"5,818,049.00"
Colorado,CO,"5,684,203.00"
Minnesota,MN,"5,628,162.00"
South Carolina,SC,"5,088,916.00"
Alabama,AL,"4,888,949.00"
Louisiana,LA,"4,682,509.00"
Kentucky,KY,"4,472,265.00"
Oregon,OR,"4,199,563.00"
Oklahoma,OK,"3,940,521.00"
Connecticut,CT,"3,588,683.00"
Iowa,IA,"3,160,553.00"
Utah,UT,"3,159,345.00"
Nevada,NV,"3,056,824.00"
Arkansas,AR,"3,020,327.00"
Mississippi,MS,"2,982,785.00"
Kansas,KS,"2,918,515.00"
New Mexico,NM,"2,090,708.00"
Nebraska,NE,"1,932,549.00"
West Virginia,WV,"1,803,077.00"
Idaho,ID,"1,753,860.00"
Hawaii,HI,"1,426,393.00"
New Hampshire,NH,"1,350,575.00"
Maine,ME,"1,341,582.00"
Montana,MT,"1,062,330.00"
Rhode Island,RI,"1,061,712.00"
Delaware,DE,"971,180.00"
South Dakota,SD,"877,790.00"
North Dakota,ND,"755,238.00"
Alaska,AK,"738,068.00"
District of Columbia,DC,"703,608.00"
Vermont,VT,"623,960.00"
Wyoming,WY,"573,720.00"
